name	version	path	bytes	md5	package_url	remote_manifest_url
DoomsdayRampage	0.0.1	assets/res/raw-assets/79/79e0625b-a4d4-44e2-bacd-4170d507a002.manifest	226	1f9a541ee3b41e92e9ef45c33077a1e2	http://ifs.yonorummy.in/GameX/1.6.8.7/DoomsdayRampage	http://ifs.yonorummy.in/GameX/DoomsdayRampage/project.manifest
DoubleNuggets2	0.0.1	assets/res/raw-assets/42/42997e88-71df-4997-9e18-1aa9766fd46f.manifest	222	e99c9cb4add92236ba415e7574d09a84	http://ifs.yonorummy.in/GameX/1.6.8.7/DoubleNuggets2	http://ifs.yonorummy.in/GameX/DoubleNuggets2/project.manifest
DoubleRoll	0.0.1	assets/res/raw-assets/70/702efd35-df4e-4505-941c-5a8a5f36946b.manifest	206	ddf3ae782cd2fb86d3520fab263e114d	http://ifs.yonorummy.in/GameX/1.6.8.7/DoubleRoll	http://ifs.yonorummy.in/GameX/DoubleRoll/project.manifest
DragonEvilTreasure	0.0.1	assets/res/raw-assets/51/511ae428-52cd-4111-b42e-c35196835c1e.manifest	238	785628c936c0ecb2ab87495418cdcea3	http://ifs.yonorummy.in/GameX/1.6.8.7/DragonEvilTreasure	http://ifs.yonorummy.in/GameX/DragonEvilTreasure/project.manifest
DragonHatch	0.0.1	assets/res/raw-assets/76/76e34013-d861-4bb2-8dde-f3b504908f21.manifest	210	a64d7ae61fafb332b46466f2a8a96952	http://ifs.yonorummy.in/GameX/1.6.8.7/DragonHatch	http://ifs.yonorummy.in/GameX/DragonHatch/project.manifest
DragonHatch2	0.0.1	assets/res/raw-assets/2e/2e11e3d6-49bc-467d-b64c-d58a8f6a905b.manifest	214	a224476c2ca98ad5d33f38ee1551959b	http://ifs.yonorummy.in/GameX/1.6.8.7/DragonHatch2	http://ifs.yonorummy.in/GameX/DragonHatch2/project.manifest
DragonHatch3	0.0.1	assets/res/raw-assets/e0/e0003ff9-7af0-4219-ab74-8e683823e79a.manifest	214	203e6a3f93a167dbb34de2bd546bd3ad	http://ifs.yonorummy.in/GameX/1.6.8.7/DragonHatch3	http://ifs.yonorummy.in/GameX/DragonHatch3/project.manifest
DragonHatch4	0.0.1	assets/res/raw-assets/3a/3a7f8cda-5288-49e2-8e34-6ca7232d8ef4.manifest	214	ead3594a6c533e03de7672359d6c39e5	http://ifs.yonorummy.in/GameX/1.6.8.7/DragonHatch4	http://ifs.yonorummy.in/GameX/DragonHatch4/project.manifest
DragonSlaye	0.0.1	assets/res/raw-assets/93/931406ea-9df4-406f-a5d3-953ae1234089.manifest	210	18707b31d91d8f9883da71b3d0c2d58c	http://ifs.yonorummy.in/GameX/1.6.8.7/DragonSlaye	http://ifs.yonorummy.in/GameX/DragonSlaye/project.manifest
DragonsTreasureQuest	0.0.1	assets/res/raw-assets/14/1482b4fc-8b72-44df-a753-67291621c296.manifest	246	52392bc026fc61befeb631664e4fddc5	http://ifs.yonorummy.in/GameX/1.6.8.7/DragonsTreasureQuest	http://ifs.yonorummy.in/GameX/DragonsTreasureQuest/project.manifest
