path	name	localized_name	version	package_url	remote_manifest_url
assets/res/raw-assets/38/387f172f-dda1-44c5-ae2b-0d6f7f6cff36.manifest	MegaMoneyFrog	MegaMoneyFrog	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/MegaMoneyFrog	http://ifs.yonorummy.in/GameX/MegaMoneyFrog/project.manifest
assets/res/raw-assets/3a/3a7f8cda-5288-49e2-8e34-6ca7232d8ef4.manifest	DragonHatch4	DragonHatch4	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/DragonHatch4	http://ifs.yonorummy.in/GameX/DragonHatch4/project.manifest
assets/res/raw-assets/3a/3af95820-5b4e-441a-948a-2e249ab24521.manifest	Triple	Triple	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/Triple	http://ifs.yonorummy.in/GameX/Triple/project.manifest
assets/res/raw-assets/3b/3b6e6deb-e57f-4c86-b522-ec7423a2dcfd.manifest	BearBlast	BearBlast	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/BearBlast	http://ifs.yonorummy.in/GameX/BearBlast/project.manifest
assets/res/raw-assets/3c/3c437837-ff11-4ade-ba1f-f4f11cdac7d5.manifest	HipHopPanda	HipHopPanda	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/HipHopPanda	http://ifs.yonorummy.in/GameX/HipHopPanda/project.manifest
assets/res/raw-assets/3d/3d2bee9e-056b-4382-931f-c1c1591aea99.manifest	Limbo	Limbo	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/Limbo	http://ifs.yonorummy.in/GameX/Limbo/project.manifest
assets/res/raw-assets/3d/3db8967a-c614-49d7-9621-637e22f53981.manifest	WolfMoonLink	WolfMoonLink	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/WolfMoonLink	http://ifs.yonorummy.in/GameX/WolfMoonLink/project.manifest
assets/res/raw-assets/41/41204fcd-4c6d-4360-bb3b-680ef82eb190.manifest	FlamingMustang	FlamingMustang	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/FlamingMustang	http://ifs.yonorummy.in/GameX/FlamingMustang/project.manifest
assets/res/raw-assets/41/41ace276-8da3-4782-99f2-d6869dacbac7.manifest	SuperNiubi	SuperNiubi	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/SuperNiubi	http://ifs.yonorummy.in/GameX/SuperNiubi/project.manifest
assets/res/raw-assets/42/42997e88-71df-4997-9e18-1aa9766fd46f.manifest	DoubleNuggets2	DoubleNuggets2	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/DoubleNuggets2	http://ifs.yonorummy.in/GameX/DoubleNuggets2/project.manifest
assets/res/raw-assets/44/44b90a42-715a-4bb0-9833-edfae698fde1.manifest	LuckyGems1000	LuckyGems1000	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/LuckyGems1000	http://ifs.yonorummy.in/GameX/LuckyGems1000/project.manifest
assets/res/raw-assets/45/45d692ee-0055-4c49-9dee-3fcc0093f921.manifest	SevenUpDown	SevenUpDown	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/SevenUpDown	http://ifs.yonorummy.in/GameX/SevenUpDown/project.manifest
assets/res/raw-assets/46/46f5d64c-bd40-431c-9d0d-f14ad2058dda.manifest	Crypto	Crypto	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/Crypto	http://ifs.yonorummy.in/GameX/Crypto/project.manifest
